intersection,sensor,intersection_lat,intersection_lon
30279697.0,,47.6084406,-122.331992
30345425.0,,47.6149998,-122.3318142
30345462.0,,47.6125332,-122.3311604
53009977.0,273094.0,47.6017176,-122.336534
53017297.0,265115.0,47.6061206,-122.337541
53018668.0,,47.6023905,-122.3371464
53045786.0,,47.607744,-122.3313384
53070500.0,,47.6135283,-122.3320378
53070502.0,,47.6145306,-122.3329226
53070503.0,,47.6148418,-122.333146
53070504.0,,47.615616,-122.3344308
53070505.0,,47.6163879,-122.3357275
53070507.0,,47.6171513,-122.3370451
53071878.0,,47.6017393,-122.3355425
53071879.0,,47.6017372,-122.3348555
53071880.0,273147.0,47.6017368,-122.3342296
53071883.0,,47.6017311,-122.3328372
53071886.0,,47.6017285,-122.3319771
53071891.0,273093.0,47.6017203,-122.330277
53071898.0,,47.6017115,-122.3263509
53072273.0,273636.0,47.6131351,-122.3362705
53072274.0,273606.0,47.6135929,-122.3351911
53072275.0,273153.0,47.6140621,-122.3340552
53082157.0,,47.6008634,-122.3302793
53108778.0,,47.6008659,-122.3311771
53114227.0,,47.6025548,-122.3296796
53114228.0,273057.0,47.6030041,-122.328573
53114230.0,,47.6034391,-122.3274205
53114260.0,,47.6028269,-122.3360403
53114262.0,273096.0,47.6035361,-122.3367059
53114263.0,273618.0,47.6042382,-122.337344
53114264.0,273152.0,47.6049427,-122.3379977
53114267.0,,47.6063685,-122.3393111
53114269.0,,47.6073776,-122.3402101
53114273.0,,47.6103443,-122.3436686
53114276.0,,47.6112025,-122.3447848
53119471.0,,47.6090381,-122.3306272
53128666.0,,47.6008593,-122.3290093
53141794.0,,47.602201,-122.3293592
53142103.0,,47.6060838,-122.3282382
53142127.0,273059.0,47.6032617,-122.3349486
53142130.0,265105.0,47.6037219,-122.3338129
53142133.0,,47.6041943,-122.3327164
53142136.0,273668.0,47.6046716,-122.3316087
53142138.0,,47.6051141,-122.3305267
53142141.0,,47.6056014,-122.3293393
53142964.0,,47.6088488,-122.3400201
53142966.0,273596.0,47.6092979,-122.3389402
53142967.0,,47.6097652,-122.3378196
53142968.0,,47.6102141,-122.3367371
53142969.0,273630.0,47.6106961,-122.3355778
53142970.0,,47.6111517,-122.3344825
53142971.0,273158.0,47.6116191,-122.3333583
53142972.0,,47.6120871,-122.3322335
53144256.0,,47.6044864,-122.3390825
53144257.0,273055.0,47.6054068,-122.3368943
53144260.0,265150.0,47.6058727,-122.3357869
53144261.0,,47.6063357,-122.3346862
53144262.0,265074.0,47.6068008,-122.3335804
53144265.0,273240.0,47.6072664,-122.3324742
53144266.0,,47.6081976,-122.3302357
53144731.0,273619.0,47.6025469,-122.3343002
53144733.0,273579.0,47.6040006,-122.3356188
53144734.0,273092.0,47.6046928,-122.3362467
53144737.0,,47.606838,-122.3381925
53144740.0,,47.6098432,-122.3408914
53144742.0,273669.0,47.6103112,-122.3413171
53144743.0,,47.6110545,-122.3425796
53144744.0,,47.6118416,-122.3439165
53148286.0,,47.6117067,-122.3417417
53148287.0,,47.6123893,-122.340865
53148290.0,,47.6130475,-122.3400195
53148292.0,,47.613718,-122.3391467
53148294.0,,47.6143918,-122.3383323
53148295.0,,47.6148264,-122.337749
53148297.0,,47.6150568,-122.3374463
53148299.0,,47.6157232,-122.336573
53148302.0,,47.6170692,-122.334846
53155723.0,265120.0,47.6030925,-122.3377786
53155724.0,273056.0,47.6037848,-122.3384279
53155725.0,,47.6051784,-122.3397065
53155726.0,265113.0,47.6058842,-122.3403801
53155727.0,,47.6069143,-122.3413493
53160852.0,273083.0,47.6041643,-122.328058
53160854.0,273099.0,47.6048794,-122.3286935
53160855.0,,47.6062491,-122.3301768
53160858.0,273095.0,47.6070218,-122.3306814
53160861.0,265078.0,47.6091536,-122.332635
53160863.0,273155.0,47.610148,-122.333559
53160865.0,273595.0,47.6121367,-122.3353812
53160869.0,,47.6136154,-122.3370367
53160871.0,,47.6139547,-122.3375919
53160874.0,,47.6151578,-122.3396251
53168035.0,,47.6008789,-122.334235
53168038.0,,47.6008703,-122.3328669
53168043.0,,47.6008553,-122.3276639
53168044.0,,47.6008513,-122.3263566
53184111.0,273624.0,47.6051575,-122.3351305
53184112.0,,47.6056287,-122.3340272
53184113.0,,47.6060865,-122.3329126
53184114.0,273061.0,47.6065443,-122.3318209
53184115.0,,47.6074864,-122.3295782
53187904.0,265104.0,47.6109565,-122.3404737
53187905.0,273103.0,47.6116333,-122.3396012
53187906.0,,47.6129735,-122.3378749
53187907.0,,47.613279,-122.3374748
53187908.0,,47.6142851,-122.3361644
53187909.0,,47.6149542,-122.3352929
53187910.0,,47.616282,-122.333556
53194068.0,,47.6155055,-122.332284
53200375.0,273050.0,47.6065823,-122.3364381
53200376.0,,47.6070474,-122.3353207
53200377.0,,47.6075075,-122.3342339
53200378.0,273090.0,47.6079696,-122.3331106
53200379.0,,47.6093695,-122.3298023
53203462.0,265118.0,47.6023124,-122.3325194
53203463.0,265180.0,47.6030293,-122.3331773
53203464.0,273086.0,47.6044575,-122.334488
53203465.0,265081.0,47.6072982,-122.3370956
53203466.0,265178.0,47.6082891,-122.3380101
53203467.0,273591.0,47.6102801,-122.3398417
53203468.0,,47.6124939,-122.3430725
53205952.0,,47.6087555,-122.3368912
53205953.0,273104.0,47.6092063,-122.335805
53205954.0,,47.6096853,-122.3346631
53205955.0,273100.0,47.6106056,-122.3324189
53207665.0,273107.0,47.6039483,-122.3309243
53207667.0,273246.0,47.6043928,-122.3298583
53207669.0,,47.6053411,-122.3276092
53208941.0,,47.6130601,-122.3331627
53213413.0,273620.0,47.6077623,-122.335978
53213414.0,265082.0,47.6082149,-122.3348881
53213415.0,273149.0,47.6086836,-122.3337566
53213822.0,,47.6107454,-122.338721
53213823.0,273594.0,47.6111996,-122.3376326
53213824.0,273598.0,47.6116831,-122.336471
53213825.0,273603.0,47.6125952,-122.334263
53220994.0,,47.6131715,-122.3421956
53220995.0,,47.6138297,-122.3413438
53220996.0,,47.614498,-122.340479
53220997.0,,47.6158349,-122.3387488
53221381.0,,47.6049096,-122.3333828
53221382.0,,47.6053647,-122.3322713
53221383.0,,47.6058327,-122.3311769
53221390.0,,47.6068115,-122.3288827
53221905.0,273085.0,47.6027714,-122.3314201
53221906.0,273106.0,47.6032433,-122.3302856
53221907.0,273049.0,47.6036923,-122.3291997
53221908.0,,47.6046185,-122.3269834
53229641.0,,47.6152964,-122.3378474
53247233.0,,47.6022648,-122.3278983
132880545.0,,47.600873,-122.3335402
289460726.0,,47.6008691,-122.3322282
289461267.0,,47.6008792,-122.3348388
289462720.0,,47.6017197,-122.3290454
699288163.0,,47.609576,-122.3307242
775936191.0,,47.6165075,-122.3378768
825293231.0,,47.6094497,-122.3418368
825293232.0,,47.6096411,-122.3421596
1178349141.0,273628.0,47.607833,-122.3390905
1806299915.0,,47.6096634,-122.3316394
1806527515.0,,47.6017334,-122.3335991
1827149469.0,,47.6085798,-122.3438639
1884382823.0,,47.6166472,-122.3381133
1884382824.0,,47.6163653,-122.3380623
1926509564.0,,47.6008943,-122.3359692
2053744124.0,273621.0,47.6034817,-122.3320677
2062150190.0,,47.6097382,-122.3331782
2481926130.0,273601.0,47.6121683,-122.3385329
2481926135.0,,47.6123028,-122.3387594
2507567756.0,,47.6008891,-122.3355813
3618304999.0,273608.0,47.6126656,-122.3373647
